"","contrast","estimate","std.error","statistic","p.value","generation","metabolite","treatment","sex","exposure","pAdj","results","pAdjALL","SignifAll"
"138","CrossesMcPh",28.9199999999999,36.0576224026673,0.802049554932958,0.424505258425488,"F1","Fitness","HSD","female","Paternal",0.646554162832666," ",0.802521763446655," "
"139","CrossesMhPh",-49.4399999999998,60.4636794557967,-0.817680968888835,0.415564202813148,"F2","Fitness","HSD","female","Parental",0.637842729899251," ",0.796498055391867," "
"140","CrossesMhPc",130.28,60.4636794557968,2.15468197060756,0.0336888398364874,"F2","Fitness","HSD","female","Maternal",0.0995580639943955,".",0.127955776993631," "
"141","CrossesMcPh",89.32,60.4636794557967,1.47725048829189,0.142881655657153,"F2","Fitness","HSD","female","Paternal",0.321483725228595," ",0.384110424948451," "
"142","CrossesMhPh",-19.2399999999999,42.1907541214107,-0.456024083964789,0.649402596964469,"F3","Fitness","HSD","female","Parental",0.79864418757121," ",0.979274604144311," "
"143","CrossesMhPc",66.8000000000001,42.1907541214107,1.58328528112516,0.116645438833406,"F3","Fitness","HSD","female","Maternal",0.275571731517719," ",0.324835012380862," "
"144","CrossesMcPh",54.84,42.1907541214107,1.29981085055245,0.196778220233525,"F3","Fitness","HSD","female","Paternal",0.375337378348772," ",0.471785080930248," "
"145","CrossesMhPh",0.10375,0.0435611867693435,2.38170737976806,0.0182527712334626,"F1","Weight","HSD","female","Parental",0.0592467000692721,".",0.0787150759443075,"."
"146","CrossesMhPc",0.12375,0.0435611867693435,2.84083169394021,0.00500676250616284,"F1","Weight","HSD","female","Maternal",0.0202314076779641,"*",0.0286154318907675,"*"
"147","CrossesMcPh",0.0266666666666668,0.0435611867693436,0.612165752229543,0.541183832947454,"F1","Weight","HSD","female","Paternal",0.733934239202712," ",0.907085452794518," "
"148","CrossesMhPh",-0.0174999999999999,0.0511663664545317,-0.34202155073003,0.732725005424063,"F2","Weight","HSD","female","Parental",0.86284406708447," ",0.999986154515138," "
"149","CrossesMhPc",0.136666666666667,0.0511663664545317,2.67102544379644,0.00823978099877933,"F2","Weight","HSD","female","Maternal",0.0291335113885412,"*",0.0401325803940546,"*"
"150","CrossesMcPh",-0.0983333333333334,0.0511663664545318,-1.92183538029256,0.0561715411091454,"F2","Weight","HSD","female","Paternal",0.156647396332546," ",0.189065187147855," "
"151","CrossesMhPh",-0.00266666666666671,0.0494650211177174,-0.0539101491601621,0.957053143956397,"F3","Weight","HSD","female","Parental",0.986961054705035," ",0.999986154515138," "
"152","CrossesMhPc",0.0486666666666665,0.0494650211177176,0.983860222172934,0.326209160766675,"F3","Weight","HSD","female","Maternal",0.561647076798275," ",0.689033635496956," "
"153","CrossesMcPh",0.0166666666666665,0.0494650211177177,0.336938432251003,0.736467915844825,"F3","Weight","HSD","female","Paternal",0.86284406708447," ",0.999986154515138," "
"154","CrossesMhPh",-16.0911042960915,2.90066768744889,-5.54737944153938,1.00352212708602e-07,"F1","TAG","HSD","male","Parental",1.52844139356178e-06,"***",1.88844618460732e-06,"***"
